student_name,grade,class,school,district,scale_code,scale_name,domain,language,window,2YO_attempted,2YO_correct,2YO_cutoff,2YO_passed,3YO_attempted,3YO_correct,3YO_cutoff,3YO_passed,4YO_attempted,4YO_correct,4YO_cutoff,4YO_passed,KG_attempted,KG_correct,KG_cutoff,KG_passed,learning_zone
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT3b,Sonidos De Letras,Literacy,Spanish,Fall 2025,,,,,6,1,4,FAIL,6,2,4,FAIL,6,2,4,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT3b,Sonidos De Letras,Literacy,Spanish,Spring 2026,,,,,6,4,4,PASS,6,4,4,PASS,6,1,4,FAIL,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,LIT5,Responder Preguntas,Literacy,Spanish,Spring 2026,6,4,4,PASS,6,4,4,PASS,6,3,4,FAIL,8,6,6,PASS,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT10,Posicion Objetos Espacio,Math,Spanish,Fall 2025,,,,,6,1,4,FAIL,6,3,4,FAIL,5,5,3,PASS,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT10,Posicion Objetos Espacio,Math,Spanish,Spring 2026,,,,,6,5,4,PASS,6,3,4,FAIL,5,3,3,PASS,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT2,Subitizing,Math,English,Fall 2025,,,,,4,4,2,PASS,6,3,4,FAIL,6,3,4,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT2,Subitizar,Math,Spanish,Spring 2026,,,,,4,3,2,PASS,6,3,4,FAIL,6,4,4,PASS,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT3,Count1 By1,Math,English,Fall 2025,6,5,4,PASS,6,4,4,PASS,6,1,4,FAIL,6,0,4,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT3,Contar1a1,Math,Spanish,Spring 2026,6,1,4,FAIL,6,0,4,FAIL,6,2,4,FAIL,6,1,4,FAIL,2YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT4,Mas O Menos,Math,Spanish,Fall 2025,6,3,4,FAIL,8,5,6,FAIL,7,0,5,FAIL,7,3,5,FAIL,2YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT5,Numerales,Math,Spanish,Fall 2025,,,,,6,2,4,FAIL,6,1,4,FAIL,6,2,4,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT6b,Restar,Math,Spanish,Fall 2025,,,,,,,,,8,1,6,FAIL,11,5,9,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT6b,Restar,Math,Spanish,Spring 2026,,,,,,,,,8,6,6,PASS,11,6,9,FAIL,Kindergarten Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT7,Patrones,Math,Spanish,Fall 2025,,,,,4,3,2,PASS,5,0,3,FAIL,4,0,2,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT7,Patrones,Math,Spanish,Spring 2026,,,,,4,3,2,PASS,5,0,3,FAIL,4,1,2,FAIL,4YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT8,Medir,Math,Spanish,Fall 2025,,,,,6,2,4,FAIL,8,2,6,FAIL,6,2,4,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT8,Medir,Math,Spanish,Spring 2026,,,,,6,3,4,FAIL,8,4,6,FAIL,6,3,4,FAIL,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT9,Figuras,Math,Spanish,Fall 2025,5,4,3,PASS,5,1,3,FAIL,1,0,1,FAIL,,,,,3YO Skills
Aaliyah Baker,Pre-K 4,Ms. Walker's Pre-K 4,Lakeview Elementary School,Brookside Central School District,MAT9,Figuras,Math,Spanish,Spring 2026,5,5,3,PASS,5,2,3,FAIL,5,2,3,FAIL,5,3,3,PASS,3YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,ATL5a,Corazon Estrella,Executive Function,Spanish,Spring 2026,12,5,10,FAIL,12,3,10,FAIL,12,1,10,FAIL,,,,,2YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,ATL5b,Dia Noche,Executive Function,Spanish,Spring 2026,9,3,7,FAIL,,,,,,,,,,,,,2YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,ATL8,Secuencia Inversa,Executive Function,Spanish,Fall 2025,6,3,4,FAIL,,,,,,,,,,,,,2YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,ATL9,Pensamiento Flexible,Executive Function,Spanish,Spring 2026,,,,,5,4,3,PASS,5,0,3,FAIL,10,7,8,FAIL,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LAN7a,Categorias De Palabras,Language,Spanish,Spring 2026,6,2,4,FAIL,5,2,3,FAIL,7,4,5,FAIL,5,1,3,FAIL,2YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LAN7b,Caracteristicas Compartidas,Language,Spanish,Spring 2026,6,6,4,PASS,6,5,4,PASS,6,6,4,PASS,6,0,4,FAIL,Kindergarten Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT1b,Fonemas,Literacy,Spanish,Fall 2025,,,,,,,,,6,2,4,FAIL,6,1,4,FAIL,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT1b,Fonemas,Literacy,Spanish,Spring 2026,,,,,,,,,7,3,5,FAIL,7,3,5,FAIL,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT1c,Aliteracion,Literacy,Spanish,Fall 2025,,,,,6,0,4,FAIL,6,2,4,FAIL,6,1,4,FAIL,3YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT2,Concocimiento De Lo Impreso,Literacy,Spanish,Spring 2026,,,,,7,6,5,PASS,7,7,5,PASS,5,2,3,FAIL,Kindergarten Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT3b,Sonidos De Letras,Literacy,Spanish,Fall 2025,,,,,6,3,4,FAIL,6,1,4,FAIL,6,2,4,FAIL,3YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT3b,Sonidos De Letras,Literacy,Spanish,Spring 2026,,,,,6,3,4,FAIL,6,4,4,PASS,6,2,4,FAIL,3YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT4,Retelling,Literacy,English,Fall 2025,,,,,3,1,1,PASS,2,0,1,FAIL,,,,,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,LIT5,Responder Preguntas,Literacy,Spanish,Spring 2026,1,1,1,PASS,,,,,,,,,,,,,3YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT10,Posicion Objetos Espacio,Math,Spanish,Spring 2026,,,,,6,5,4,PASS,6,5,4,PASS,5,4,3,PASS,Kindergarten Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT3,Contar1a1,Math,Spanish,Spring 2026,6,6,4,PASS,6,4,4,PASS,6,1,4,FAIL,6,1,4,FAIL,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT6b,Restar,Math,Spanish,Spring 2026,,,,,,,,,8,3,6,FAIL,11,3,9,FAIL,4YO Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT7,Patrones,Math,Spanish,Fall 2025,,,,,4,2,2,PASS,2,1,1,PASS,,,,,Kindergarten Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT8,Medir,Math,Spanish,Fall 2025,,,,,6,5,4,PASS,8,7,6,PASS,6,4,4,PASS,Kindergarten Skills
Aaliyah Chukwu,Pre-K 4,Mr. Richardson's Pre-K 4,Fernwood Head Start,Greenfield School District,MAT9,Figuras,Math,Spanish,Fall 2025,5,5,3,PASS,5,3,3,PASS,5,3,3,PASS,,,,,Kindergarten Skills
Aaliyah Harris,Pre-K 4,Ms. Phillips's Pre-K 4,Northgate Early Childhood Center,Lakeview Regional School District,ATL8,Secuencia Inversa,Executive Function,Spanish,Spring 2026,9,3,7,FAIL,6,4,4,PASS,,,,,,,,,2YO Skills
Aaliyah Harris,Pre-K 4,Ms. Phillips's Pre-K 4,Northgate Early Childhood Center,Lakeview Regional School District,LAN6,Vocabulario,Language,Spanish,Spring 2026,8,7,6,PASS,8,6,6,PASS,8,6,6,PASS,12,8,10,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,ATL5a,Corazon Estrella,Executive Function,Spanish,Spring 2026,12,6,10,FAIL,12,7,10,FAIL,12,2,10,FAIL,,,,,2YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,ATL5b,Dia Noche,Executive Function,Spanish,Spring 2026,12,11,10,PASS,12,5,10,FAIL,,,,,,,,,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,ATL5b,Day And Night,Executive Function,English,Spring 2026,12,12,10,PASS,12,0,10,FAIL,,,,,,,,,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,ATL9,Dimensional Card Sort,Executive Function,English,Spring 2026,,,,,5,5,3,PASS,5,0,3,FAIL,10,5,8,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LAN6,Vocabulario,Language,Spanish,Spring 2026,8,8,6,PASS,8,6,6,PASS,8,6,6,PASS,8,8,6,PASS,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LAN7a,Categorias De Palabras,Language,Spanish,Spring 2026,6,5,4,PASS,5,2,3,FAIL,7,2,5,FAIL,5,5,3,PASS,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LAN7a,Word Categories,Language,English,Spring 2026,6,5,4,PASS,6,5,4,PASS,6,4,4,PASS,6,5,4,PASS,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LAN7b,Shared Characteristics,Language,English,Spring 2026,6,6,4,PASS,6,4,4,PASS,6,4,4,PASS,6,2,4,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT1a,Silabas,Literacy,Spanish,Fall 2025,,,,,6,1,4,FAIL,6,2,4,FAIL,6,1,4,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT1a,Rhyme Syllable,Literacy,English,Spring 2026,,,,,6,2,4,FAIL,6,2,4,FAIL,6,1,4,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT1b,Blending Adding,Literacy,English,Spring 2026,,,,,,,,,7,3,5,FAIL,6,1,4,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT1d,Codificacion Decodificacion,Literacy,Spanish,Fall 2025,,,,,,,,,,,,,12,0,10,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT1d,Encoding Decoding,Literacy,English,Spring 2026,,,,,,,,,,,,,21,13,19,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT2,Concocimiento De Lo Impreso,Literacy,Spanish,Fall 2025,,,,,7,2,5,FAIL,7,5,5,PASS,5,4,3,PASS,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT2,Concocimiento De Lo Impreso,Literacy,Spanish,Spring 2026,,,,,7,2,5,FAIL,7,2,5,FAIL,5,3,3,PASS,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT3a,Nombres De Letras,Literacy,Spanish,Fall 2025,,,,,6,3,4,FAIL,6,2,4,FAIL,6,1,4,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT3bi,Consonant Sounds,Literacy,English,Spring 2026,,,,,,,,,8,6,6,PASS,8,2,6,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT4,Recontar Historias,Literacy,Spanish,Fall 2025,,,,,4,0,2,FAIL,6,2,4,FAIL,4,0,2,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT5,Responder Preguntas,Literacy,Spanish,Fall 2025,4,3,2,PASS,4,1,2,FAIL,4,1,2,FAIL,4,3,2,PASS,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,LIT5,Answer Questions,Literacy,English,Spring 2026,6,5,4,PASS,6,5,4,PASS,6,4,4,PASS,8,5,6,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT10,Position Of Objects In Space,Math,English,Spring 2026,,,,,6,6,4,PASS,6,4,4,PASS,5,2,3,FAIL,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT2,Subitizar,Math,Spanish,Spring 2026,,,,,4,4,2,PASS,6,6,4,PASS,6,4,4,PASS,Kindergarten Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT3,Contar1a1,Math,Spanish,Fall 2025,6,4,4,PASS,6,1,4,FAIL,6,1,4,FAIL,6,1,4,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT3,Contar1a1,Math,Spanish,Spring 2026,6,6,4,PASS,6,4,4,PASS,6,0,4,FAIL,6,1,4,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT4,Mas O Menos,Math,Spanish,Fall 2025,3,2,1,PASS,,,,,,,,,,,,,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT5,Numerales,Math,Spanish,Fall 2025,,,,,6,2,4,FAIL,6,0,4,FAIL,6,2,4,FAIL,3YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT5,Numerals,Math,English,Spring 2026,,,,,7,7,5,PASS,6,3,4,FAIL,6,4,4,PASS,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT6b,Restar,Math,Spanish,Fall 2025,,,,,,,,,8,2,6,FAIL,11,3,9,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT6b,Subtract,Math,English,Spring 2026,,,,,,,,,8,4,6,FAIL,11,1,9,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT8,Medir,Math,Spanish,Fall 2025,,,,,6,4,4,PASS,8,2,6,FAIL,6,0,4,FAIL,4YO Skills
Aaliyah Zhang,Pre-K 3,Ms. Scott's Pre-K 3,Driftwood Early Childhood Center,Hillcrest Unified School District,MAT9,Figuras,Math,Spanish,Fall 2025,5,2,3,FAIL,5,2,3,FAIL,5,1,3,FAIL,5,0,3,FAIL,2YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,ATL5a,Hearts And Stars,Executive Function,English,Spring 2026,12,7,10,FAIL,12,5,10,FAIL,12,2,10,FAIL,,,,,2YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,ATL5b,Day And Night,Executive Function,English,Spring 2026,12,4,10,FAIL,12,1,10,FAIL,,,,,,,,,2YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,ATL8,Reverse Order Sequence,Executive Function,English,Spring 2026,9,6,7,FAIL,6,2,4,FAIL,,,,,,,,,2YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,ATL9,Dimensional Card Sort,Executive Function,English,Spring 2026,6,4,4,PASS,11,9,9,PASS,5,0,3,FAIL,10,5,8,FAIL,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LAN6,Vocabulary,Language,English,Spring 2026,8,1,6,FAIL,8,3,6,FAIL,8,0,6,FAIL,12,5,10,FAIL,2YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LAN7a,Word Categories,Language,English,Spring 2026,6,6,4,PASS,6,6,4,PASS,6,3,4,FAIL,6,1,4,FAIL,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LAN7b,Shared Characteristics,Language,English,Spring 2026,6,6,4,PASS,6,6,4,PASS,6,6,4,PASS,6,5,4,PASS,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT1a,Rhyme Syllable,Literacy,English,Fall 2025,,,,,5,2,3,FAIL,5,1,3,FAIL,4,0,2,FAIL,3YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT1b,Blending Adding,Literacy,English,Fall 2025,,,,,,,,,5,5,3,PASS,7,5,5,PASS,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT1b,Blending Adding,Literacy,English,Spring 2026,,,,,,,,,7,7,5,PASS,6,2,4,FAIL,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT1c,Alliteration Segmenting,Literacy,English,Fall 2025,,,,,6,3,4,FAIL,6,2,4,FAIL,6,0,4,FAIL,3YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT1d,Encoding Decoding,Literacy,English,Fall 2025,,,,,,,,,,,,,12,3,10,FAIL,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT2,Concepts Of Print,Literacy,English,Fall 2025,,,,,7,5,5,PASS,7,2,5,FAIL,,,,,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT2,Concepts Of Print,Literacy,English,Spring 2026,,,,,7,4,5,FAIL,7,6,5,PASS,5,5,3,PASS,3YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3a,Letter Names,Literacy,English,Fall 2025,,,,,6,5,4,PASS,6,5,4,PASS,6,3,4,FAIL,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3a,Letter Names,Literacy,English,Spring 2026,,,,,6,5,4,PASS,6,3,4,FAIL,6,2,4,FAIL,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3bi,Consonant Sounds,Literacy,English,Fall 2025,,,,,,,,,3,3,1,PASS,,,,,Kindergarten Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3bi,Consonant Sounds,Literacy,English,Spring 2026,,,,,,,,,8,4,6,FAIL,8,4,6,FAIL,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3bii,Vowel Sounds,Literacy,English,Fall 2025,,,,,,,,,8,5,6,FAIL,7,6,5,PASS,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT3bii,Vowel Sounds,Literacy,English,Spring 2026,,,,,,,,,8,3,6,FAIL,7,3,5,FAIL,4YO Skills
Aaron Hughes,Pre-K 3,Mr. Peterson's Pre-K 3,Birchwood Early Childhood Center,Greenfield School District,LIT4,Retelling,Literacy,English,Fall 2025,,,,,4,1,2,FAIL,6,3,4,FAIL,4,1,2,FAIL,3YO Skills
